""	"LDD0R1"	"LDD0R2"	"LDD0R3"	"LDD10CF70R1"	"LDD10CF70R2"	"LDD10CF70R3"	"LDD10MHPR1"	"LDD10MHPR2"	"LDD10MHPR3"	"LDD10MLPR1"	"LDD10MLPR2"	"LDD10MLPR3"	"LDD10MR1"	"LDD10MR2"	"LDD10MR3"	"LDD10NUSR1"	"LDD10NUSR2"	"LDD10NUSR3"	"LDD10OKAR1"	"LDD10OKAR2"	"LDD10OKAR3"	"LDD10PKMR1"	"LDD10PKMR2"	"LDD10PKMR3"	"LDD10PR1"	"LDD10PR2"	"LDD10PR3"	"LDD10RIBR1"	"LDD10RIBR2"	"LDD10RIBR3"	"LDD10SBMR1"	"LDD10SBMR2"	"LDD10SBMR3"	"LDD5CF70R1"	"LDD5CF70R2"	"LDD5CF70R3"	"LDD5MHPR1"	"LDD5MHPR2"	"LDD5MHPR3"	"LDD5MLPR1"	"LDD5MLPR2"	"LDD5MLPR3"	"LDD5MR1"	"LDD5MR2"	"LDD5MR3"	"LDD5NUSR1"	"LDD5NUSR2"	"LDD5NUSR3"	"LDD5OKAR1"	"LDD5OKAR2"	"LDD5OKAR3"	"LDD5PKMR1"	"LDD5PKMR2"	"LDD5PKMR3"	"LDD5PR1"	"LDD5PR2"	"LDD5PR3"	"LDD5RIBR1"	"LDD5RIBR2"	"LDD5RIBR3"	"LDD5SBMR1"	"LDD5SBMR2"	"LDD5SBMR3"	"WTD0R1"	"WTD0R2"	"WTD0R3"	"WTD10CF70R1"	"WTD10CF70R2"	"WTD10CF70R3"	"WTD10MHPR1"	"WTD10MHPR2"	"WTD10MHPR3"	"WTD10MLPR1"	"WTD10MLPR2"	"WTD10MLPR3"	"WTD10MR1"	"WTD10MR2"	"WTD10MR3"	"WTD10NUSR1"	"WTD10NUSR2"	"WTD10NUSR3"	"WTD10OKAR1"	"WTD10OKAR2"	"WTD10OKAR3"	"WTD10PKMR1"	"WTD10PKMR2"	"WTD10PKMR3"	"WTD10PR1"	"WTD10PR2"	"WTD10PR3"	"WTD10RIBR1"	"WTD10RIBR2"	"WTD10RIBR3"	"WTD10SBMR1"	"WTD10SBMR2"	"WTD10SBMR3"	"WTD5CF70R2"	"WTD5CF70R3"	"WTD5MHPR1"	"WTD5MHPR2"	"WTD5MHPR3"	"WTD5MLPR1"	"WTD5MLPR2"	"WTD5MLPR3"	"WTD5MR1"	"WTD5MR2"	"WTD5MR3"	"WTD5NUSR1"	"WTD5NUSR2"	"WTD5NUSR3"	"WTD5OKAR1"	"WTD5OKAR2"	"WTD5OKAR3"	"WTD5PKMR1"	"WTD5PKMR2"	"WTD5PKMR3"	"WTD5PR1"	"WTD5PR2"	"WTD5PR3"	"WTD5RIBR1"	"WTD5RIBR2"	"WTD5RIBR3"	"WTD5SBMR1"	"WTD5SBMR2"	"WTD5SBMR3"
"LDD0R1"	0	0.118701828116926	0.112782401436062	0.739638783952653	0.717852359879872	0.754516970825082	0.738402401467106	0.887552959920661	0.78856802095076	0.909891667828808	0.915353691332745	0.919219966260528	0.73960997468663	0.725384686390291	0.703408530676066	0.847696632888538	0.682900367535761	0.887625388343412	0.773563916397868	0.769071696666741	0.776759429363656	0.791634672450996	0.797625888080925	0.84551685059955	0.905185494500868	0.933099071473771	0.896049092809603	0.81650816536035	0.744355353377533	0.747696923693554	0.793133502122659	0.799371060648916	0.80668203210589	0.502692111572475	0.728456364615402	0.537078315742705	0.720121118577453	0.882149002203613	0.705874689721046	0.750343937453835	0.775117167771801	0.826475683760544	0.636196051310475	0.650868724487951	0.632132707577334	0.669087009840767	0.71327635737023	0.576492895273626	0.658575209581729	0.697521362141622	0.666997269523222	0.540599672560942	0.639942518940805	0.661605059315407	0.758454481101797	0.823042610791913	0.717358855767283	0.488598716997807	0.427266590853947	0.400505750197049	0.555017748896413	0.634407020729832	0.718530395123846	0.579122630745051	0.613823320037995	0.534973683046063	0.71391384063329	0.669779046322379	0.769384802975685	0.674884225551194	0.786932057197887	0.707549486958636	0.915723067532895	0.835605861410599	0.902560667358725	0.790068288319092	0.742679380089934	0.733671434591252	0.838028602286141	0.808697827357689	0.82124108056134	0.855981692012788	0.774372037934665	0.769186431838053	0.843915680337499	0.848796619779907	0.762332155896983	0.910335232060935	0.898749878934408	0.94352593241017	0.790276458980814	0.762849363691049	0.76777404134882	0.776805027877412	0.764003160684486	0.763423503697823	0.60644897112919	0.608748807796435	0.815512996562205	0.652469212250749	0.738253610244447	0.881878091572268	0.79557803505635	0.860417013381425	0.672882252468854	0.595347609418661	0.59657234351023	0.711049850611659	0.62335289448078	0.642131921002849	0.754497267252914	0.692143332649602	0.798293145144038	0.512079126439131	0.58028150856301	0.609621236660062	0.751640823757475	0.776267423390552	0.781953345428419	0.480915329572431	0.58579067546563	0.457843197833283	0.709444458128397	0.667229159815696	0.653702475962948
"LDD0R2"	0.118701828116926	0	0.138893354854094	0.787812234928312	0.785149854753078	0.76307331667198	0.814111863523851	0.898956442744341	0.817567926483487	0.909317467018877	0.9168886963225	0.916867743813267	0.814284319843912	0.791785904347126	0.772272667303965	0.845504919016717	0.726220523259872	0.889205085588909	0.81369510405346	0.819865571101213	0.826720876276979	0.829038062433291	0.833387903649714	0.851148968250899	0.904311378675075	0.933037420736615	0.893233015097855	0.815791255648129	0.770778544669678	0.794948830286798	0.830377001964597	0.837062122591403	0.84284192329977	0.486378519419844	0.755846360239153	0.519098167237207	0.759978940647752	0.872083631596729	0.745848206746434	0.73883428631116	0.807338985330242	0.820321928395541	0.675163953256056	0.687259746208521	0.661571028306937	0.708634743549934	0.741138976534212	0.596577274492497	0.686429814609074	0.687329642512485	0.697986713977943	0.548324064412225	0.624674411093226	0.657774834451194	0.77893785569265	0.814353339998426	0.746043675162276	0.534789453418439	0.413245291901468	0.391169874201076	0.617532299969737	0.699179147228927	0.758272400888859	0.533836810124042	0.588226788093304	0.490532158035886	0.759150834593847	0.73577074240164	0.81548412582851	0.758413419393721	0.839776425350312	0.771950787833801	0.920955354374154	0.852349613515226	0.908304796583228	0.823742624479179	0.792259669013197	0.810800200322152	0.8555577108664	0.828432969260486	0.867773480938567	0.861375550117381	0.827698473159882	0.820991095929674	0.858116102116914	0.866810146428785	0.818825561291019	0.915655206303458	0.901231965875621	0.948688989152395	0.795355164038426	0.796664079846598	0.78070014152368	0.827790510137749	0.822577889637995	0.822991021174073	0.570483466759795	0.567051749804419	0.829941477078066	0.717022154843281	0.744298850402578	0.884259597798481	0.822082847119398	0.860876550416256	0.710650660272684	0.592035587904423	0.614974833224564	0.709276043836153	0.672360465114034	0.632160523499954	0.759690139045511	0.738059377594344	0.793444312357163	0.559100180492095	0.625152738284584	0.660997551717839	0.818412474962946	0.804761973192142	0.827397283436546	0.509740774424174	0.578806808080581	0.484583808084192	0.720102709451974	0.676980992281368	0.659205402131423
"LDD0R3"	0.112782401436062	0.138893354854094	0	0.730675733293262	0.709369113652636	0.751742655898595	0.736711122362648	0.894118565420247	0.794290753808562	0.906528410402666	0.913316120176084	0.915217194802466	0.737277051243849	0.714275416631132	0.696968869044906	0.843939109970163	0.665144246948918	0.887639276542354	0.759406205945139	0.776201767039463	0.769252324014184	0.771167532759451	0.777622352670182	0.847082483580001	0.902229949485417	0.931301262591627	0.891425619867944	0.811534331540835	0.747232249570535	0.737139852311921	0.775593301793179	0.781980595428113	0.788030902646637	0.490231205569008	0.702200251040264	0.519844135606879	0.702561459623997	0.870402959736488	0.687232541399313	0.738635662108397	0.76429959953509	0.819325899753865	0.616563526821485	0.629780244720883	0.627556427576104	0.65355330586173	0.687484081367798	0.58279143727894	0.636550442725571	0.636177811620603	0.643024251293244	0.549695110731254	0.621165472222144	0.652312446222824	0.749449044933108	0.813185056330465	0.692802160355692	0.482169359877229	0.418675394790068	0.390135810283044	0.543730364704651	0.623905112005814	0.700682546653467	0.601518583959331	0.543762290092829	0.557943293180501	0.706459582361242	0.661413710210381	0.780368672782138	0.680176513009445	0.779003757910323	0.707631638272671	0.918451490937499	0.847412015000854	0.906340985129345	0.806147059816906	0.734093175005953	0.734884758523382	0.848620584586251	0.822860017073256	0.841041342784617	0.859349230570026	0.77054901966186	0.764295411879904	0.851642758100885	0.862216844383075	0.76284729370103	0.913532135696934	0.898334129936968	0.945527677192272	0.793995698205427	0.770958420741802	0.771523322138077	0.771505625034956	0.758879294575543	0.765356661435744	0.621087235207297	0.62041299110572	0.81125344294329	0.650417872087861	0.733610422042116	0.881229354252693	0.791692746768011	0.857424708260661	0.65682981325981	0.590922607848174	0.592347979338277	0.706415489167996	0.618206640599112	0.662998683445087	0.757681523536673	0.680809216244498	0.793469848318555	0.501918996751544	0.567230308798992	0.603163019916423	0.74351691328612	0.77276665608231	0.768268960668135	0.489410472738166	0.597556909287141	0.462489061553003	0.712331911214198	0.68199773955916	0.667770155451092
"LDD10CF70R1"	0.739638783952653	0.787812234928312	0.730675733293262	0	0.492852752224104	0.652262564752267	0.661278129934173	0.772648584872387	0.686381407300734	0.737219785051336	0.776044072018006	0.706000486830356	0.595375062606238	0.59066901445515	0.661991575157785	0.769999353539845	0.598784377680461	0.813515367539559	0.527945935574123	0.605167701279449	0.482970526716298	0.475870466869065	0.496892608714363	0.689925461619551	0.796431481784412	0.823125998307824	0.816725998684076	0.479812875162653	0.506275030626283	0.41036792482009	0.598195492503525	0.620440094075899	0.620319393831743	0.654075260974741	0.617353896851339	0.603120720295839	0.586146970872585	0.840777246791894	0.595786337741561	0.748599274585993	0.629850102602026	0.736729721281722	0.661523018970478	0.652021742681942	0.685913004071929	0.590592221004548	0.622294107603633	0.694402104805961	0.651027014697894	0.713435955597325	0.594237813170412	0.819407427181124	0.827296137795654	0.741509777874618	0.73617400871321	0.732514882775642	0.619699923446674	0.579741970690792	0.624091211821766	0.595074549814318	0.596725150265562	0.574582298607707	0.701153068486583	0.886771407913804	0.898389537373045	0.878470389005657	0.566208761652458	0.507163372414443	0.646913256902211	0.591894860144369	0.639837677644692	0.586211548166704	0.849509528246726	0.690243578891247	0.759223939538996	0.761347275111126	0.606372970119018	0.619358211721548	0.862518370127011	0.811510708443774	0.855961428754642	0.744882682564971	0.530136557906807	0.500747267298998	0.726189677511236	0.56608066913107	0.578548675795645	0.737985600066163	0.708101562506847	0.769590746185731	0.381381940236014	0.315761481597777	0.381795091803482	0.615760780159993	0.594320365984751	0.634508143431814	0.832359239399839	0.87275736860137	0.840208750164885	0.701963623260388	0.790032995806548	0.87981195849442	0.759090571793648	0.863970797803794	0.64478346067164	0.665427310109183	0.622903677353243	0.807960858190833	0.729591768963041	0.815997384266462	0.78002339280422	0.682942397381224	0.794105790628224	0.687644761281837	0.637142641521987	0.647386003141801	0.69014281274496	0.757575064065104	0.654006382911432	0.62907081976506	0.758639226006708	0.694486994295988	0.729924684891145	0.769741917842559	0.76181230015521
"LDD10CF70R2"	0.717852359879872	0.785149854753078	0.709369113652636	0.492852752224104	0	0.489282356803062	0.520926807823487	0.701118146338008	0.632396171993561	0.803945098586505	0.817739105361807	0.811279459741019	0.408850125583995	0.428719986738273	0.557586470864355	0.705104245117846	0.453442076021994	0.744505160898603	0.572386912270099	0.60496656500255	0.409615798268738	0.626764342995745	0.641921707965637	0.751853942550541	0.824245187226724	0.878707191908337	0.814671486244212	0.742064275436481	0.712132580127561	0.684948857538302	0.449513917583325	0.469404593111561	0.47096672543018	0.634348018591959	0.43555205242422	0.521120363319001	0.498248891056834	0.730642503084639	0.489310240108645	0.731810688617705	0.737557987292098	0.747610226831446	0.586121399493977	0.582451843656765	0.611317043415192	0.356921045949071	0.394833781570512	0.62322494019171	0.594391792203888	0.702298482325614	0.542801913717272	0.754356576893956	0.762081844165895	0.687922518898113	0.742378803116894	0.739566925523368	0.622367215720026	0.363679085306435	0.520949954762454	0.584953007919548	0.523906616484225	0.534382029694032	0.69415989424506	0.897039808586687	0.907020494280157	0.889301625948911	0.521720801006806	0.553269357555421	0.605981217191822	0.333732604904326	0.515611971610342	0.449153719733246	0.856774946577706	0.749306600072297	0.845336963588826	0.675610558226556	0.369538411629213	0.361805079622	0.801823488813414	0.755721464250746	0.771757124149364	0.760211922777065	0.39871229408789	0.458310287049985	0.794376846776748	0.80280570464122	0.676533553509931	0.843898806714796	0.8303832618864	0.882587578762357	0.759307866084811	0.701056259974299	0.763771675345896	0.459523024949466	0.409350708951168	0.555714332624438	0.773143616189456	0.860641602227959	0.713476617987206	0.607810352655994	0.775116089867421	0.848365144367082	0.738572080039524	0.829022965004577	0.485238109849031	0.6077440451352	0.526762493528526	0.746514252351255	0.670873321557453	0.758752238452989	0.726191416178008	0.626390396265233	0.727014587646658	0.690747523197669	0.617213585797211	0.643332088316058	0.587924526674953	0.766346829346437	0.634870479116133	0.585731562888153	0.714914323956202	0.639743271047926	0.654886429179408	0.677230701796774	0.696479253590527
"LDD10CF70R3"	0.754516970825082	0.76307331667198	0.751742655898595	0.652262564752267	0.489282356803062	0	0.689636466453176	0.801247538665083	0.675350674120128	0.803074503637762	0.820565467118252	0.804477662535778	0.728884398231789	0.695806376807204	0.702391497521339	0.803955855356306	0.730236516359107	0.833081334226279	0.689215595130163	0.692997033697596	0.690855212210307	0.677203884312646	0.727117726512733	0.739006355576448	0.808008273273336	0.858352272513878	0.830002857394007	0.724542121433696	0.690425885916584	0.718111397679494	0.750625327801098	0.744569163820473	0.74879513000467	0.713756237389593	0.766754332269449	0.707540759162027	0.74158647487992	0.70237163704563	0.738965490163637	0.729901892603175	0.732899993313234	0.765101157645048	0.73545101621642	0.74242828141704	0.730547531270731	0.747327080024375	0.749223290632512	0.739698061210047	0.678702605030445	0.73266846213956	0.655739111517426	0.804201856183286	0.809543573917551	0.750555793930996	0.760050785585892	0.74488427723139	0.725816325040079	0.699513986426715	0.7234298569262	0.703750130304593	0.724882179609669	0.720565743359009	0.749927366545662	0.898991051912579	0.896916848356432	0.881907290215973	0.414385884864126	0.675586468667933	0.599010407024101	0.744724475422808	0.740345412965629	0.736340867202484	0.857380418983547	0.754956919760542	0.816162146310036	0.775699289654319	0.753678315229203	0.743763510293086	0.879559911697836	0.832509997219028	0.868355109962002	0.756611172889095	0.703536144099588	0.689687486673821	0.773098903501199	0.786951023261861	0.718379750763331	0.821241167870424	0.806160577948812	0.854650613750493	0.717615359840329	0.677152597338041	0.704811541745346	0.734294021209955	0.722791572358323	0.75975483656776	0.844140850171299	0.860215501944731	0.69436148731206	0.722188215566741	0.789982115811488	0.842327711470765	0.750464008078276	0.825483208725409	0.774105415238696	0.758699517511172	0.773612710983728	0.813686971182106	0.785247253367006	0.816951108065773	0.768669370815845	0.732537674811014	0.74806775253808	0.746764366277859	0.724503503425102	0.752832051593622	0.803914399235722	0.779237627042965	0.786475959460252	0.746522392976458	0.764970229634884	0.738385516805819	0.74149851798849	0.787429827764397	0.783992091223341
"LDD10MHPR1"	0.738402401467106	0.814111863523851	0.736711122362648	0.661278129934173	0.520926807823487	0.689636466453176	0	0.352589089492455	0.364562043695595	0.851169810264435	0.859213117787294	0.845249532336572	0.34920655461709	0.325999179339715	0.279085580752625	0.646128629661047	0.492693686469639	0.647169935179505	0.688026080187277	0.581125880104621	0.577479819607119	0.709034921938405	0.736045123102668	0.813791395741921	0.719272733411413	0.919805883580113	0.624348586104425	0.57507409456717	0.752965856799612	0.713457836454217	0.587202139050911	0.590038545038299	0.584615450677225	0.654956748210856	0.5136692538728	0.558721895257096	0.247411428757878	0.656847022008838	0.516869242810782	0.769903767187303	0.759429299260314	0.785908145315856	0.519498608240641	0.537035907624184	0.551884608250854	0.48307342423262	0.512256634004314	0.497075229227399	0.629856854103668	0.71847324757215	0.669981144605972	0.694057453346538	0.699699894984951	0.692899319871585	0.765750625800474	0.766903325492421	0.677602972295429	0.600958711597483	0.6810714746151	0.592202637666266	0.592345187826594	0.581767284832037	0.674095652762353	0.883677115974921	0.924825437396909	0.841909488937542	0.683397013566107	0.466738820612003	0.635388345787561	0.489985130718631	0.392775395637165	0.457000975193971	0.890338522661586	0.779763936363161	0.865825407420928	0.487112114892569	0.494698551543716	0.489096887769623	0.663678033943653	0.620155168317087	0.62403153445897	0.81554138151654	0.490901380793256	0.65950559213936	0.829145137791035	0.832393872714058	0.682721167414934	0.87247950236776	0.859316216137973	0.912243956621153	0.698818323361517	0.747178352620451	0.812883118602854	0.68724231737032	0.620409218794099	0.658675443983501	0.717738080852437	0.838476675637749	0.637856188469046	0.560614141696021	0.755060734040639	0.83362359845499	0.717238572218749	0.812368892559171	0.580291950420289	0.573621884303295	0.586634179404101	0.67063191245875	0.533128290092743	0.758171376753681	0.729876746388252	0.52517713342817	0.745850248834029	0.702553025078241	0.6657972664887	0.666593004916468	0.712795805715995	0.747432331332409	0.725600981079633	0.544513352699431	0.654987934709197	0.424388083772528	0.574517604269233	0.413224968468458	0.569472628247118
"LDD10MHPR2"	0.887552959920661	0.898956442744341	0.894118565420247	0.772648584872387	0.701118146338008	0.801247538665083	0.352589089492455	0	0.511842393222945	0.829394467419738	0.837424861329213	0.838237105781312	0.599288563878486	0.499075565691166	0.450240207644324	0.753049537509119	0.732161247058153	0.753475942897974	0.804328004171876	0.69625521673253	0.708324904614318	0.840415239951384	0.87145335984784	0.855627691213321	0.72216453411129	0.905193558655582	0.626562916215206	0.644096591632959	0.848069944600741	0.847774601316669	0.70329980043401	0.727794981526293	0.719944672306068	0.803459567461159	0.66533744561229	0.705901014630662	0.474905665477107	0.763218315971901	0.754888812867223	0.855804587016705	0.882285790691984	0.824930233897591	0.747790857736187	0.764175098781628	0.745184129463912	0.718160096541733	0.673185627872754	0.647829236561999	0.774293549527335	0.785170922476517	0.815596088393371	0.802753001437505	0.806273426315994	0.770724060716913	0.879075289587987	0.829755831937152	0.824810108044545	0.755879631093976	0.828559283144174	0.743858865545856	0.739688041639514	0.763373105926047	0.812950977980014	0.88985185036371	0.930710801346163	0.846211973684972	0.857667213321301	0.62566552973945	0.593210819465472	0.722512825811929	0.625516452909817	0.667960397992722	0.882177567064646	0.830072333527902	0.864395665729402	0.4575605896726	0.714348273487959	0.74586897122688	0.576968440799065	0.566497349335936	0.56842482960834	0.826142579983966	0.707608515804259	0.795966263832655	0.870021762356398	0.850235521206352	0.823820750178382	0.864481067502178	0.861175290780286	0.90719511714069	0.764838013665631	0.848315225163332	0.896620920516794	0.825706439718436	0.768464361779372	0.80007433258296	0.795999622206124	0.851280969894296	0.769681704364345	0.744760886442658	0.828058401010389	0.86398509054642	0.846526196955648	0.881139849290506	0.804927092212805	0.798947083950581	0.810668127397502	0.831829366676498	0.654402051440161	0.823468364488121	0.768923700522462	0.75060054925539	0.805911976094435	0.847197428599754	0.806303599075211	0.813985047770192	0.894241236544935	0.864913173083752	0.872678066626722	0.72267551170155	0.557055595864643	0.592121493166047	0.738646153121797	0.564655658138125	0.738810109360215
"LDD10MHPR3"	0.78856802095076	0.817567926483487	0.794290753808562	0.686381407300734	0.632396171993561	0.675350674120128	0.364562043695595	0.511842393222945	0	0.837906369465649	0.84550344141988	0.846924022820807	0.578127802664514	0.487301929105183	0.481306356108574	0.771278346495435	0.696238017559588	0.774338130934779	0.713071928387008	0.635710383141727	0.627664963109285	0.756605403648435	0.782963294968442	0.817555546162884	0.719956078748517	0.914547900996659	0.644833664431837	0.580540008499663	0.758458640774636	0.754816100337914	0.588825080342875	0.638993594272083	0.628797936243019	0.702545850363224	0.575416002578286	0.628819166343843	0.473239388809014	0.727009501069122	0.701162413850334	0.764830375241529	0.783722478231813	0.78701994363316	0.709039930588381	0.712220568550066	0.708940436973898	0.693794225919724	0.612115509906959	0.593908091182468	0.722966360019228	0.711408458157388	0.715581187203496	0.813778052920715	0.817953182208467	0.749334843193701	0.775519702814133	0.768270681687776	0.72316312203191	0.699158190784436	0.751180355054953	0.692860902515428	0.745491489411586	0.726891471114296	0.757146000354747	0.909132854278565	0.922857569538957	0.900154606013647	0.713850257504566	0.556374436353478	0.693074476798646	0.697332431175117	0.562987944260783	0.665696117359119	0.890289843198671	0.78374150056973	0.86724249570748	0.674783208969462	0.670969882152714	0.692694683963742	0.844154893657642	0.799842637718815	0.841089975651653	0.822247977919336	0.671221079623958	0.712339557517525	0.827288722589248	0.850402821212107	0.756622250576295	0.878660968237761	0.859490191271378	0.914246282158223	0.698483338891159	0.754294287967638	0.812935346589113	0.733955065297674	0.683997213790996	0.709024880814025	0.815861894360105	0.836508807779797	0.737183339343517	0.619854059356364	0.742954383256558	0.826326411606975	0.724999424956302	0.804514455701618	0.746082082097502	0.741033113492044	0.752594100708069	0.790855389857963	0.74533416613613	0.808750804518113	0.777382044035815	0.735631725916517	0.799814500446335	0.757748448100172	0.72642573166138	0.757258841857902	0.800721192765008	0.764559314397014	0.782932952099296	0.652649636796267	0.742239824324685	0.558326124003791	0.723364151980064	0.58883616048281	0.749813969037664
"LDD10MLPR1"	0.909891667828808	0.909317467018877	0.906528410402666	0.737219785051336	0.803945098586505	0.803074503637762	0.851169810264435	0.829394467419738	0.837906369465649	0	0.390965387233121	0.526593019855426	0.85952544182847	0.852031047739118	0.861422922432422	0.860850113470088	0.849119076594832	0.865285027096657	0.729091587034	0.696216163097132	0.735929308923688	0.740470095951307	0.742602769968889	0.765922544392322	0.56181365064481	0.583258375390422	0.597307963575218	0.801751398036471	0.769564946154393	0.81838522685057	0.825134658068686	0.824718698092065	0.828129348060971	0.858188959034027	0.872024256499954	0.861953664395788	0.857971988335521	0.862889459084734	0.861272396917099	0.613753005672642	0.490310414656417	0.432611034918515	0.856275334506415	0.866473198546624	0.857768552600722	0.863089959179166	0.862478978406639	0.865220203883654	0.831745834458823	0.796366638600995	0.828467354024673	0.863616359572877	0.8585383496494	0.854363723373882	0.701723910181802	0.616520677570731	0.633610725121915	0.842333612513849	0.882249249373636	0.855272568557667	0.861859054141984	0.853294298429333	0.88236269766373	0.911172708296605	0.917030174469792	0.902357045892888	0.803782018379075	0.737872576356446	0.805448831533096	0.863662908086001	0.867088818822595	0.850179603908633	0.559634853281193	0.687624133352227	0.517039493927462	0.863854920060933	0.860833545546165	0.862854162521953	0.884429885628347	0.869900422567254	0.882943191936446	0.754356152101491	0.770532421238367	0.742319459887954	0.75987449850477	0.758891178347609	0.765761743708038	0.611019971878812	0.570009491650316	0.636924591912913	0.803696082669148	0.742493220237625	0.817983633510705	0.847683872633827	0.824159962019937	0.878004918462503	0.882965446221648	0.921829689936516	0.864249204274617	0.864855270401571	0.864802652225852	0.619681863707655	0.61601370023659	0.663737425503465	0.872556756082512	0.871598692848045	0.875057525649602	0.892446483648825	0.881315929817737	0.882242179101918	0.848508242133255	0.860398946561985	0.866744183329237	0.87320498384007	0.814494412035617	0.896572122659159	0.794803883332631	0.722242577945712	0.732397834663899	0.876030427324507	0.857353948682523	0.868596166732925	0.865965603246128	0.871089299868118	0.878625093941557
