"Genus","LDD0R1","LDD0R2","LDD0R3","LDD10CF70R1","LDD10CF70R2","LDD10CF70R3","LDD10MHPR1","LDD10MHPR2","LDD10MHPR3","LDD10MLPR1","LDD10MLPR2","LDD10MLPR3","LDD10MR1","LDD10MR2","LDD10MR3","LDD10NUSR1","LDD10NUSR2","LDD10NUSR3","LDD10OKAR1","LDD10OKAR2","LDD10OKAR3","LDD10PKMR1","LDD10PKMR2","LDD10PKMR3","LDD10PR1","LDD10PR2","LDD10PR3","LDD10RIBR1","LDD10RIBR2","LDD10RIBR3","LDD10SBMR1","LDD10SBMR2","LDD10SBMR3","LDD5CF70R1","LDD5CF70R2","LDD5CF70R3","LDD5MHPR1","LDD5MHPR2","LDD5MHPR3","LDD5MLPR1","LDD5MLPR2","LDD5MLPR3","LDD5MR1","LDD5MR2","LDD5MR3","LDD5NUSR1","LDD5NUSR2","LDD5NUSR3","LDD5OKAR1","LDD5OKAR2","LDD5OKAR3","LDD5PKMR1","LDD5PKMR2","LDD5PKMR3","LDD5PR1","LDD5PR2","LDD5PR3","LDD5RIBR1","LDD5RIBR2","LDD5RIBR3","LDD5SBMR1","LDD5SBMR2","LDD5SBMR3","WTD0R1","WTD0R2","WTD0R3","WTD10CF70R1","WTD10CF70R2","WTD10CF70R3","WTD10MHPR1","WTD10MHPR2","WTD10MHPR3","WTD10MLPR1","WTD10MLPR2","WTD10MLPR3","WTD10MR1","WTD10MR2","WTD10MR3","WTD10NUSR1","WTD10NUSR2","WTD10NUSR3","WTD10OKAR1","WTD10OKAR2","WTD10OKAR3","WTD10PKMR1","WTD10PKMR2","WTD10PKMR3","WTD10PR1","WTD10PR2","WTD10PR3","WTD10RIBR1","WTD10RIBR2","WTD10RIBR3","WTD10SBMR1","WTD10SBMR2","WTD10SBMR3","WTD5CF70R2","WTD5CF70R3","WTD5MHPR1","WTD5MHPR2","WTD5MHPR3","WTD5MLPR1","WTD5MLPR2","WTD5MLPR3","WTD5MR1","WTD5MR2","WTD5MR3","WTD5NUSR1","WTD5NUSR2","WTD5NUSR3","WTD5OKAR1","WTD5OKAR2","WTD5OKAR3","WTD5PKMR1","WTD5PKMR2","WTD5PKMR3","WTD5PR1","WTD5PR2","WTD5PR3","WTD5RIBR1","WTD5RIBR2","WTD5RIBR3","WTD5SBMR1","WTD5SBMR2","WTD5SBMR3"
"k__Bacteria.__.__.__.__.__",0.000122048,0.000777996,8.31048e-05,0,0.00159936,0.000137974,0.005766292,0.001505925,0.000507389,0.007176012,0.005553775,0.013975272,0.005474321,0,0.001673852,0.004819535,0.003264476,0.019497139,0.00144921,0.004158004,0.002455574,0.000998431,0,0.000212198,0.006185217,0.002999642,0.000967742,0.000936956,0.000423711,0.002609356,0,0.000194234,0.000390292,0.000402549,0.008491884,0,0,0,0.003932443,0.002186036,0.005545489,0.002217597,0,0,0,0.00317864,0.000353787,0.0004649,0,0,0,0,0,0,0.000100284,6.01594e-05,0.000912979,0,0,0,0.000588279,9.45626e-05,0.000197716,8.83991e-05,0.000565908,0.000188318,0.001543984,0.003933641,0.000357001,0.02014218,0.000950972,0.000769625,0.007188713,0.010545413,0.012205243,9.37441e-05,0.057515337,0,0.000799105,0.00013964,0.001953374,0.000614224,0.001657459,0.000734527,0.003203164,0.001121795,0,0.013131003,0.0043362,0.006544935,0.000707307,0.001824418,0.00363272,0.000491884,0.000107782,0.000356379,0.000158153,0.000437752,4.54442e-05,0,0.000132591,0.005007704,0.022995032,0.008439466,0.001502984,0.001890772,0.002173297,0.002864418,0.013670886,0,0,0.000539108,0.000745231,0,0,0.000105213,0.021365815,0.000977199,0.006010433,0.000777739,0,0,0,0.000480723,0.000754148
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323102,0,0.000589304,0,0.001291419,0,0,0,0,0,0,0,0.000390292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68846e-05,0,0,0,0,0,0,0,0,0,0,0.002899447,0,0,0,0.000817494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__",0,0,0,0,0.001279488,0.000482908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000917587,0.00058202,0,0.000133851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000810592,0.005301864,0.001666006,0,0,0,0,0.02024039,0,0,0,0,0,0,0,0,0,0,0.000473511,0,0,0.001430615,0,0,0,0.001897395,0.000626331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297674,0,0,0,0,0,0,0,0,0,0,0.001864942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026524,0.001496023,0,0,0,0.000475172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000781759,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010197022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001751441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001889251,0.00283511,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium",0,0,0,0.000382223,0,0,0,0,0,0,0.000267008,0.000149869,0,0,0,0,0.00080274,0,0.000135863,0,0,0,0,0,0.000611725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115799,0.001368223,0.001190004,0,0,0,0.000307539,0,0,0,0,0,0,0,0,0.000241302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003191724,0,0.006137793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Cellulomonadaceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001606211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000962551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Cellulomonadaceae.g__Cellulomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium",0.001098432,0.002333989,0.001994515,0.007019007,0.009196321,0.011141389,0.001319994,0.00117855,0.000570812,0.001493891,0.002830289,0.001723492,0.00129655,0.001017264,0.001014456,0.002249116,0.003050412,0.001881963,0.007381912,0.001097251,0.00187399,0.004088813,0.002897412,0.002182612,0.002073067,0.002686246,0.001258065,0.00307857,0.001271133,0.008302495,0.143168258,0.031771137,0.112297758,0.00677625,0.003977212,0.00173819,0,0.00105947,0.001159566,0.001115325,0.001262834,0.000511753,0.001328748,0.001851348,0.002530233,0.001271456,0.000825504,0.001901864,0.059810004,0.064035369,0.106879731,0.003475731,0.003938979,0.004532012,0.002941668,0.005715145,0.001777906,0.002543882,0.004122649,0.002167981,0.009412457,0.013664303,0.209777075,0,0.000363798,9.4159e-05,0.002122978,0.005301864,0.003728679,0,0,0,0.003190712,0.000680349,0.000439389,0.000718705,0,0.000983057,0.000852379,0.000837843,0.000849293,0.003049182,0.013370166,0.000966482,0.000919169,0.002083333,0.000825764,0.001481709,0.00122859,0.000824992,0.002210336,0.001678465,0.003382187,0.17938628,0.056073507,0.002455057,0.000158153,0,0.000681663,0,0,0.019590579,0.002696948,0.00920669,0,0.00036361,0,0,0,0.001253133,0,0.001482546,0.004719793,0.000257754,0.009000707,0.000526067,0,0,0.00102064,0.000345662,0.00692092,0.003797754,0.033405359,0.001538314,0
