# Constructed from biom file
#OTU ID	LDD0R1	LDD0R2	LDD0R3	LDD10CF70R1	LDD10CF70R2	LDD10CF70R3	LDD10MHPR1	LDD10MHPR2	LDD10MHPR3	LDD10MLPR1	LDD10MLPR2	LDD10MLPR3	LDD10MR1	LDD10MR2	LDD10MR3	LDD10NUSR1	LDD10NUSR2	LDD10NUSR3	LDD10OKAR1	LDD10OKAR2	LDD10OKAR3	LDD10PKMR1	LDD10PKMR2	LDD10PKMR3	LDD10PR1	LDD10PR2	LDD10PR3	LDD10RIBR1	LDD10RIBR2	LDD10RIBR3	LDD10SBMR1	LDD10SBMR2	LDD10SBMR3	LDD5CF70R1	LDD5CF70R2	LDD5CF70R3	LDD5MHPR1	LDD5MHPR2	LDD5MHPR3	LDD5MLPR1	LDD5MLPR2	LDD5MLPR3	LDD5MR1	LDD5MR2	LDD5MR3	LDD5NUSR1	LDD5NUSR2	LDD5NUSR3	LDD5OKAR1	LDD5OKAR2	LDD5OKAR3	LDD5PKMR1	LDD5PKMR2	LDD5PKMR3	LDD5PR1	LDD5PR2	LDD5PR3	LDD5RIBR1	LDD5RIBR2	LDD5RIBR3	LDD5SBMR1	LDD5SBMR2	LDD5SBMR3	WTD0R1	WTD0R2	WTD0R3	WTD10CF70R1	WTD10CF70R2	WTD10CF70R3	WTD10MHPR1	WTD10MHPR2	WTD10MHPR3	WTD10MLPR1	WTD10MLPR2	WTD10MLPR3	WTD10MR1	WTD10MR2	WTD10MR3	WTD10NUSR1	WTD10NUSR2	WTD10NUSR3	WTD10OKAR1	WTD10OKAR2	WTD10OKAR3	WTD10PKMR1	WTD10PKMR2	WTD10PKMR3	WTD10PR1	WTD10PR2	WTD10PR3	WTD10RIBR1	WTD10RIBR2	WTD10RIBR3	WTD10SBMR1	WTD10SBMR2	WTD10SBMR3	WTD5CF70R2	WTD5CF70R3	WTD5MHPR1	WTD5MHPR2	WTD5MHPR3	WTD5MLPR1	WTD5MLPR2	WTD5MLPR3	WTD5MR1	WTD5MR2	WTD5MR3	WTD5NUSR1	WTD5NUSR2	WTD5NUSR3	WTD5OKAR1	WTD5OKAR2	WTD5OKAR3	WTD5PKMR1	WTD5PKMR2	WTD5PKMR3	WTD5PR1	WTD5PR2	WTD5PR3	WTD5RIBR1	WTD5RIBR2	WTD5RIBR3	WTD5SBMR1	WTD5SBMR2	WTD5SBMR3
8b8e7888e295ba8c759f084e88dea00d	5524.0	2815.0	4347.0	7542.0	5300.0	4079.0	2769.0	786.0	4616.0	1700.0	775.0	1092.0	4916.0	11472.0	3753.0	781.0	6002.0	1041.0	5168.0	2894.0	5143.0	4355.0	4829.0	3445.0	1768.0	841.0	1936.0	2880.0	3584.0	3952.0	16711.0	22849.0	14837.0	3193.0	5418.0	7784.0	7083.0	1996.0	5930.0	2454.0	3093.0	2497.0	4829.0	4014.0	3992.0	2793.0	12846.0	4010.0	6241.0	2749.0	8866.0	1896.0	2187.0	3179.0	4670.0	3563.0	4484.0	10614.0	9851.0	6452.0	4274.0	5968.0	3703.0	1467.0	817.0	1641.0	5925.0	1271.0	3978.0	1281.0	2587.0	6130.0	948.0	1903.0	1094.0	3618.0	2417.0	8609.0	613.0	2480.0	837.0	3936.0	3346.0	9172.0	3570.0	944.0	2986.0	876.0	813.0	365.0	2670.0	4230.0	1100.0	13323.0	15229.0	8373.0	1861.0	673.0	2488.0	4954.0	2160.0	1077.0	1098.0	580.0	8402.0	2887.0	3159.0	407.0	1055.0	306.0	2181.0	4332.0	1872.0	7497.0	7063.0	13830.0	1732.0	2446.0	2513.0	3152.0	4166.0	5647.0	3062.0	1111.0	1298.0
8439ff00bf0cc7efc25dcd193b230123	262.0	152.0	228.0	1606.0	1482.0	1155.0	2690.0	1661.0	2048.0	2045.0	405.0	1314.0	3828.0	2680.0	1935.0	7054.0	6986.0	10045.0	1191.0	1323.0	1829.0	759.0	589.0	202.0	475.0	175.0	431.0	192.0	170.0	178.0	498.0	415.0	387.0	1006.0	704.0	2342.0	4884.0	6458.0	10092.0	479.0	352.0	1794.0	11532.0	8193.0	12660.0	1570.0	3079.0	3095.0	3228.0	1612.0	1758.0	5269.0	8117.0	2814.0	914.0	1817.0	1278.0	2091.0	727.0	1334.0	381.0	988.0	478.0	110.0	160.0	118.0	286.0	277.0	469.0	421.0	4177.0	7794.0	854.0	1127.0	492.0	5691.0	1281.0	5018.0	8774.0	12596.0	8592.0	1591.0	2314.0	1564.0	755.0	157.0	191.0	636.0	601.0	590.0	231.0	1236.0	69.0	323.0	2570.0	663.0	3975.0	48.0	11301.0	2856.0	1226.0	364.0	323.0	66.0	9924.0	4777.0	4280.0	2154.0	2612.0	314.0	2734.0	5864.0	2435.0	1725.0	2655.0	982.0	47.0	407.0	177.0	558.0	3297.0	2349.0	7042.0	3018.0	3319.0
ff61aa44bcb72a55776bb76637436f95	82.0	50.0	64.0	513.0	339.0	530.0	4178.0	4435.0	7390.0	346.0	750.0	576.0	1996.0	10896.0	9064.0	444.0	711.0	724.0	507.0	1711.0	512.0	449.0	176.0	322.0	4777.0	153.0	7666.0	5406.0	804.0	762.0	5437.0	6136.0	5025.0	657.0	1833.0	3161.0	9111.0	772.0	166.0	171.0	103.0	257.0	541.0	377.0	474.0	272.0	3210.0	2725.0	609.0	363.0	950.0	137.0	228.0	220.0	141.0	375.0	191.0	551.0	412.0	1106.0	193.0	300.0	168.0	38.0	36.0	32.0	343.0	1210.0	936.0	100.0	1450.0	1099.0	170.0	83.0	279.0	3056.0	518.0	961.0	61.0	86.0	70.0	310.0	685.0	961.0	532.0	228.0	552.0	128.0	75.0	197.0	3008.0	415.0	56.0	1709.0	2480.0	1521.0	24.0	737.0	521.0	1323.0	343.0	45.0	35.0	31.0	225.0	75.0	22.0	0.0	0.0	0.0	636.0	206.0	100.0	103.0	518.0	1369.0	24.0	121.0	142.0	1190.0	653.0	5436.0	576.0	1973.0	23.0
04c40137d5538b83cffa098ab28ea59e	4741.0	4176.0	3219.0	29.0	18.0	167.0	97.0	22.0	186.0	0.0	27.0	0.0	0.0	213.0	169.0	50.0	761.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	256.0	226.0	0.0	0.0	0.0	6076.0	181.0	4828.0	125.0	808.0	164.0	151.0	151.0	224.0	844.0	616.0	923.0	454.0	1383.0	3895.0	657.0	233.0	417.0	3188.0	1926.0	1700.0	189.0	237.0	165.0	3456.0	6140.0	7469.0	777.0	979.0	466.0	9590.0	1593.0	8049.0	325.0	0.0	44.0	0.0	0.0	41.0	12.0	0.0	26.0	119.0	0.0	94.0	911.0	877.0	729.0	42.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	176.0	49.0	60.0	78.0	0.0	14459.0	7637.0	1057.0	941.0	903.0	174.0	93.0	76.0	2342.0	2976.0	1776.0	331.0	756.0	1079.0	222.0	453.0	188.0	3960.0	1780.0	4327.0	53.0	234.0	0.0	2927.0	5482.0	6491.0	1925.0	1613.0	1471.0
54716c2732660f3f0a56f4b0082fa002	93.0	15.0	21.0	12319.0	422.0	1733.0	82.0	143.0	137.0	3388.0	1343.0	3634.0	69.0	154.0	116.0	65.0	200.0	75.0	1208.0	1462.0	1387.0	4392.0	3670.0	3683.0	1922.0	1898.0	1188.0	6818.0	6016.0	6659.0	1090.0	1936.0	1404.0	17.0	8.0	16.0	36.0	37.0	21.0	843.0	2483.0	1182.0	37.0	13.0	35.0	3.0	23.0	31.0	368.0	265.0	543.0	22.0	24.0	33.0	154.0	1033.0	397.0	352.0	30.0	88.0	15.0	19.0	34.0	0.0	0.0	0.0	3130.0	661.0	2213.0	16.0	36.0	186.0	905.0	1664.0	2256.0	277.0	81.0	80.0	95.0	133.0	98.0	2870.0	710.0	2170.0	3424.0	3374.0	2231.0	2573.0	2044.0	2536.0	10550.0	11769.0	4237.0	1171.0	1099.0	127.0	0.0	0.0	0.0	0.0	3.0	0.0	34.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	3.0	3.0	287.0	154.0	31.0	97.0	41.0	10.0	159.0	7.0	7.0	4.0	0.0
67bd505d01e7fd6587b788fc575e1d40	819.0	314.0	406.0	757.0	294.0	442.0	1251.0	3949.0	831.0	224.0	155.0	228.0	668.0	576.0	855.0	0.0	214.0	58.0	199.0	551.0	389.0	335.0	230.0	908.0	133.0	0.0	338.0	308.0	524.0	571.0	292.0	2.0	0.0	328.0	0.0	415.0	680.0	288.0	652.0	192.0	139.0	318.0	759.0	471.0	949.0	288.0	294.0	845.0	337.0	1288.0	529.0	466.0	320.0	772.0	175.0	354.0	256.0	910.0	1339.0	1998.0	1640.0	1698.0	1457.0	1825.0	506.0	2825.0	279.0	88.0	6526.0	124.0	0.0	1070.0	150.0	520.0	118.0	17275.0	0.0	251.0	6291.0	9609.0	8668.0	447.0	180.0	457.0	685.0	364.0	544.0	200.0	140.0	68.0	206.0	331.0	127.0	406.0	549.0	701.0	864.0	232.0	413.0	233.0	206.0	160.0	0.0	0.0	343.0	246.0	192.0	0.0	1039.0	99.0	936.0	1575.0	323.0	1328.0	716.0	3938.0	0.0	119.0	7.0	612.0	10541.0	2449.0	1216.0	661.0	826.0
f161f31f5ad044e24244ecd1470a7a5f	7105.0	5119.0	4397.0	24.0	0.0	120.0	0.0	0.0	67.0	9.0	1.0	32.0	72.0	463.0	796.0	58.0	961.0	29.0	3.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	30.0	144.0	710.0	363.0	24.0	0.0	18.0	1549.0	62.0	1829.0	109.0	206.0	94.0	113.0	108.0	148.0	2091.0	1541.0	1819.0	130.0	540.0	1130.0	382.0	121.0	317.0	2122.0	3566.0	1121.0	105.0	155.0	98.0	1892.0	3782.0	4183.0	254.0	337.0	196.0	474.0	168.0	279.0	364.0	0.0	82.0	0.0	0.0	0.0	0.0	24.0	0.0	480.0	70.0	70.0	334.0	445.0	325.0	0.0	0.0	33.0	36.0	0.0	18.0	0.0	0.0	0.0	569.0	442.0	286.0	45.0	50.0	32.0	2531.0	1121.0	1071.0	586.0	951.0	0.0	0.0	0.0	160.0	220.0	140.0	110.0	133.0	161.0	114.0	314.0	69.0	2667.0	2405.0	990.0	0.0	0.0	0.0	832.0	2612.0	2954.0	269.0	0.0	68.0
68a8d748c467c399206d6a82cf1a11ce	67.0	66.0	83.0	61.0	27.0	78.0	29.0	25.0	43.0	45.0	17.0	34.0	60.0	184.0	36.0	131.0	510.0	350.0	80.0	153.0	835.0	184.0	84.0	851.0	504.0	173.0	527.0	284.0	1610.0	375.0	39.0	143.0	154.0	97.0	161.0	89.0	82.0	74.0	68.0	67.0	38.0	55.0	115.0	82.0	156.0	216.0	2017.0	4375.0	126.0	161.0	240.0	1714.0	354.0	2995.0	286.0	276.0	1207.0	453.0	295.0	395.0	541.0	807.0	821.0	83.0	64.0	61.0	191.0	118.0	387.0	0.0	13.0	308.0	52.0	37.0	115.0	34.0	63.0	25.0	674.0	29.0	1394.0	257.0	156.0	244.0	1305.0	550.0	422.0	348.0	77.0	555.0	251.0	499.0	91.0	17.0	34.0	34.0	79.0	150.0	153.0	84.0	75.0	45.0	31.0	34.0	108.0	640.0	95.0	24.0	33.0	1040.0	1490.0	1122.0	508.0	4239.0	4130.0	6542.0	87.0	121.0	64.0	311.0	2132.0	596.0	1800.0	1163.0	1471.0
517f183111cae0676cfa3acf334abd66	3382.0	2694.0	4250.0	789.0	288.0	246.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	170.0	0.0	275.0	0.0	0.0	411.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	140.0	534.0	534.0	1145.0	0.0	1083.0	1828.0	57.0	705.0	418.0	0.0	1201.0	125.0	0.0	0.0	212.0	4469.0	196.0	0.0	0.0	347.0	1214.0	341.0	1157.0	164.0	233.0	792.0	1336.0	853.0	384.0	1623.0	5231.0	2476.0	56.0	498.0	0.0	162.0	0.0	418.0	0.0	105.0	0.0	0.0	196.0	169.0	0.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	351.0	1443.0	401.0	0.0	0.0	0.0	0.0	184.0	270.0	0.0	0.0	0.0	192.0	0.0	0.0	249.0	514.0	2704.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5e2a3095e7509b97ef57c9aa6aa9be05	0.0	18.0	18.0	5.0	0.0	24.0	363.0	241.0	1330.0	137.0	5.0	83.0	3.0	12.0	5.0	0.0	7.0	0.0	5.0	3.0	0.0	3.0	8.0	7.0	0.0	0.0	8.0	0.0	18.0	0.0	9.0	4.0	11.0	9.0	11.0	37.0	450.0	8581.0	242.0	275.0	143.0	224.0	37.0	15.0	28.0	9.0	23.0	29.0	41.0	33.0	20.0	19.0	30.0	18.0	28.0	35.0	13.0	28.0	22.0	29.0	14.0	21.0	21.0	73.0	37.0	76.0	84.0	0.0	25.0	0.0	52.0	80.0	7.0	0.0	15.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	21.0	8958.0	8973.0	7115.0	300.0	85.0	74.0	62.0	36.0	26.0	11.0	12.0	10.0	51.0	48.0	33.0	96.0	66.0	113.0	32.0	175.0	52.0	25.0	74.0	69.0	51.0	29.0	17.0
