sample-id	substrate	line	age	diet	type	replicate	expid	gutmass	biomass	endpoint	BCR	SR	temperature	humidity	group
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical
LDD0R1	Fresh	LD	D0	D0	Fresh	1	LD_D0	1	11.38909091	0	0.0000001	0.0000001	28.93563028	84.95341151	LD_D0
LDD0R2	Fresh	LD	D0	D0	Fresh	2	LD_D0	1	10.30772727	0	0.0000001	0.0000001	28.93563028	84.95341151	LD_D0
LDD0R3	Fresh	LD	D0	D0	Fresh	3	LD_D0	1	15.12681818	0	0.0000001	0.0000001	28.93563028	84.95341151	LD_D0
LDD5CF70R1	Plant	LD	D5	CF	Homo	1	LD_D5_Control	126.3	291.915	11	0.258367925	110.5	28.78396625	86.14838423	LD_CF70
LDD5CF70R2	Plant	LD	D5	CF	Homo	2	LD_D5_Control	98.6	493.095	11	0.281878683	83.2	28.78396625	86.14838423	LD_CF70
LDD5CF70R3	Plant	LD	D5	CF	Homo	3	LD_D5_Control	126.2	438.87	11	0.371613169	95.5	28.78396625	86.14838423	LD_CF70
LDD5OKAR1	Plant	LD	D5	OKA	Homo	1	LD_D5_OKA	92	278.64	11	0.280593478	103.6	28.93563028	84.95341151	LD_OKA
LDD5OKAR2	Plant	LD	D5	OKA	Homo	2	LD_D5_OKA	87.2	353.28	11	0.221690802	95	28.93563028	84.95341151	LD_OKA
LDD5OKAR3	Plant	LD	D5	OKA	Homo	3	LD_D5_OKA	123.3	253.68	11	0.294436526	100.5	28.93563028	84.95341151	LD_OKA
LDD5PKMR1	Plant	LD	D5	PKM	Homo	1	LD_D5_PKM	36.7	65.715	15	0.142107199	95.9	28.93563028	84.95341151	LD_PKM
LDD5PKMR2	Plant	LD	D5	PKM	Homo	2	LD_D5_PKM	23.7	64.59	15	0.14007966	94.1	28.93563028	84.95341151	LD_PKM
LDD5PKMR3	Plant	LD	D5	PKM	Homo	3	LD_D5_PKM	31.1	60.33	15	0.15845375	116.8	28.93563028	84.95341151	LD_PKM
LDD5RIBR1	Plant	LD	D5	RIB	Homo	1	LD_D5_RIB	73.3	110.565	14	0.151983871	115.5	28.93563028	84.95341151	LD_RIB
LDD5RIBR2	Plant	LD	D5	RIB	Homo	2	LD_D5_RIB	35.4	89.49	14	0.189442748	271.8	28.93563028	84.95341151	LD_RIB
LDD5RIBR3	Plant	LD	D5	RIB	Homo	3	LD_D5_RIB	26.5	80.385	14	0.14474271	92.3	28.93563028	84.95341151	LD_RIB
LDD5SBMR1	Plant	LD	D5	SBM	Homo	1	LD_D5_SBM	94.1	336.285	14	0.147675	59.1	28.93563028	84.95341151	LD_SBM
