"group1","group2","p.adj"
"LD_D0","LD_CF",0.662303664921466
"LD_M","LD_CF",0.108695652173913
"LD_MHP","LD_CF",0.979638009049774
"LD_MLP","LD_CF",0.00980392156862745
"LD_NUS","LD_CF",0.152482269503546
"LD_OKA","LD_CF",0.07421875
"LD_P","LD_CF",0.00980392156862745
"LD_PKM","LD_CF",0.0504201680672269
"LD_RIB","LD_CF",0.608695652173913
"LD_SBM","LD_CF",0.979638009049774
"WT_CF","LD_CF",0.897058823529412
"WT_D0","LD_CF",0.362275449101796
"WT_M","LD_CF",0.108695652173913
"WT_MHP","LD_CF",1
"WT_MLP","LD_CF",0.015625
"WT_NUS","LD_CF",0.206081081081081
"WT_OKA","LD_CF",0.07421875
"WT_P","LD_CF",0.0393258426966292
"WT_PKM","LD_CF",0.0393258426966292
"WT_RIB","LD_CF",0.9
"WT_SBM","LD_CF",0.423076923076923
"LD_M","LD_D0",0.0504201680672269
"LD_MHP","LD_D0",0.662303664921466
"LD_MLP","LD_D0",0.0504201680672269
"LD_NUS","LD_D0",0.0846153846153846
"LD_OKA","LD_D0",0.0504201680672269
"LD_P","LD_D0",0.0504201680672269
"LD_PKM","LD_D0",0.0504201680672269
"LD_RIB","LD_D0",0.362275449101796
"LD_SBM","LD_D0",1
"WT_CF","LD_D0",0.894088669950739
"WT_D0","LD_D0",0.161538461538462
"WT_M","LD_D0",0.0504201680672269
"WT_MHP","LD_D0",1
"WT_MLP","LD_D0",0.0504201680672269
"WT_NUS","LD_D0",0.0846153846153846
"WT_OKA","LD_D0",0.253289473684211
"WT_P","LD_D0",0.0504201680672269
"WT_PKM","LD_D0",0.0504201680672269
"WT_RIB","LD_D0",1
"WT_SBM","LD_D0",0.253289473684211
"LD_MHP","LD_M",0.423076923076923
"LD_MLP","LD_M",0.00980392156862745
"LD_NUS","LD_M",0.522988505747126
"LD_OKA","LD_M",0.00980392156862745
"LD_P","LD_M",0.00980392156862745
"LD_PKM","LD_M",0.00980392156862745
"LD_RIB","LD_M",0.00980392156862745
"LD_SBM","LD_M",0.9
"WT_CF","LD_M",0.776649746192893
"WT_D0","LD_M",0.514619883040936
"WT_M","LD_M",0.206081081081081
"WT_MHP","LD_M",0.9
"WT_MLP","LD_M",0.00980392156862745
"WT_NUS","LD_M",0.108695652173913
"WT_OKA","LD_M",0.00980392156862745
